delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
0.0,-5.806,175.912,18.09,0.049,-0.052,-0.021,-0.997,-28.929,116.352,-9.371,-0.153,-0.184,-0.159,-0.958,6.48,143.237,-10.13,-0.415,-0.124,-0.021,-0.901
0.0,5.815,175.93,18.468,0.07,-0.081,-0.01,-0.994,-25.573,127.196,-8.452,-0.306,-0.255,-0.195,-0.896,18.74,138.186,-13.542,-0.221,-0.0,0.253,-0.942
0.0,6.683,175.834,18.53,0.076,-0.088,-0.003,-0.993,-24.269,127.323,-8.687,-0.292,-0.248,-0.191,-0.903,18.011,138.69,-12.653,-0.294,-0.07,-0.007,-0.953
0.0,2.769,176.181,15.161,0.049,-0.032,0.055,-0.997,-20.084,144.8,-6.957,-0.483,-0.013,0.041,-0.874,19.388,153.798,-2.432,-0.636,0.023,-0.129,-0.76
12.939,2.129,176.072,15.019,0.052,-0.027,0.057,-0.997,-20.074,146.569,-6.225,-0.517,-0.004,0.032,-0.856,19.436,154.62,-1.728,-0.647,0.041,-0.125,-0.751
25.635,1.451,175.938,14.902,0.057,-0.023,0.057,-0.997,-20.246,148.069,-5.576,-0.546,0.001,0.026,-0.837,19.388,155.201,-1.281,-0.653,0.055,-0.121,-0.746
37.598,0.708,175.778,14.804,0.063,-0.02,0.055,-0.996,-20.654,149.074,-5.222,-0.565,0.002,0.03,-0.825,19.229,155.464,-1.141,-0.655,0.063,-0.116,-0.744
50.781,-0.061,175.635,14.709,0.068,-0.017,0.052,-0.996,-21.155,149.739,-5.237,-0.572,-0.003,0.041,-0.819,18.954,155.521,-1.203,-0.656,0.066,-0.111,-0.743
63.965,-0.828,175.507,14.601,0.073,-0.015,0.05,-0.996,-21.828,150.108,-5.594,-0.57,-0.013,0.059,-0.819,18.681,155.503,-1.367,-0.658,0.067,-0.104,-0.743
77.637,-1.629,175.376,14.494,0.077,-0.012,0.047,-0.996,-22.72,150.195,-6.173,-0.568,-0.033,0.083,-0.818,18.518,155.283,-1.846,-0.652,0.065,-0.081,-0.751
