delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0,66.55083,515.9022,3286.1099999999997,-0.7005348338911432,0.3533824744260964,0.5698401987244267,0.2442415222506265,6.612396,365.5059,3248.004,-0.9240542688903416,0.2216591303896719,0.1731646095205963,0.2588531554182992,63.58395,331.99080000000004,3262.0830000000005,-0.9052092259480488,0.3239512475737006,0.1195303250348517,0.2477182832393278
14,67.67235000000001,514.8534,3286.188,-0.6979243250426432,0.3553855869745863,0.5701546180412177,0.2480452229146383,6.638717999999999,365.3046,3248.6279999999997,-0.9219062053034116,0.2249948646878819,0.173401820199886,0.2634351309877096,65.03793,329.7447,3263.337,-0.9020964013097996,0.328914795276799,0.129145611613503,0.2477065828614661
28,68.93235,513.9084,3286.5689999999995,-0.6949753571396259,0.3569680883037809,0.5711152685538655,0.2518141912721357,6.679917,365.22659999999996,3249.1890000000003,-0.9192568176193732,0.2279862470309857,0.1731090315257369,0.2702266412277857,66.59088,327.5346,3264.585,-0.8985905696363671,0.3333833178891066,0.1381913544349769,0.2495870611094791
42,70.17633,512.8419,3286.62,-0.6917159505226794,0.3578572064361561,0.572775707027073,0.2557249558292131,6.719397000000001,365.10240000000005,3249.7080000000005,-0.9166450618118864,0.2319507761188646,0.1726689933686219,0.2759458041768463,68.09406,325.3041,3265.809,-0.8958465900504677,0.3369886437591013,0.1500017589694824,0.2477842072820865
55,71.54616,511.8441,3286.8509999999997,-0.688591257007696,0.3582350301276513,0.5746607928397626,0.2593737017023458,6.7371360000000005,364.96979999999996,3250.158,-0.9142676617925382,0.2359868762405096,0.172131311448674,0.2807056259885269,69.62928,323.02979999999997,3267.033,-0.8928999470398606,0.3412359068610527,0.1621904773916593,0.244912207716142
70,72.94122,510.8724000000001,3287.0640000000003,-0.6856326308967694,0.3584965591692829,0.576431037008036,0.2628980260237782,6.697083,364.7343,3250.545,-0.9121729564413644,0.2399439714867812,0.1702994138814919,0.2852463807233874,71.20515,320.76869999999997,3268.2509999999997,-0.8893541323907553,0.3459932178027874,0.1752323505336958,0.2421395130093303
83,74.28132,509.79779999999994,3287.1059999999998,-0.6829442450739573,0.3590411317685401,0.5777015114502996,0.2663411111465287,6.642723000000001,364.4769,3250.8630000000003,-0.910370150882744,0.2440895511685476,0.1671761696337482,0.2893071165710498,72.8325,318.5784,3269.4539999999997,-0.8860639091205171,0.3490272100620283,0.1902350728935744,0.2384981606460749
98,75.60252000000001,508.7127,3287.2650000000003,-0.6805959063754057,0.3595452758153155,0.5786993923748137,0.2694873283272335,6.573485999999999,364.1898,3251.1780000000003,-0.9088301706071824,0.2481529573759411,0.1654760711076134,0.2916599057643712,74.48157,316.4262,3270.642,-0.8834267580533612,0.3501391335010212,0.2062206706105437,0.2333083482420195
111,76.78640999999999,507.6879,3287.532,-0.6785807459238429,0.3603370456292237,0.5791820532477001,0.2724583160860053,6.515694,363.9162,3251.4600000000005,-0.9072784367021868,0.2514460167016759,0.1641165857066885,0.2944256871879144,76.1055,314.2602,3271.7729999999997,-0.880877985496834,0.3511687509149787,0.2205316748940554,0.228254821233366
125,77.91252,506.7077999999999,3287.6969999999997,-0.6765365627313058,0.3611150429858467,0.5797205768801306,0.2753511535454475,6.474494999999999,363.60179999999997,3251.7270000000003,-0.9055679173472636,0.254265104592475,0.1621657157471524,0.2983258022600986,77.73626999999999,312.0573,3272.886,-0.8779966784019844,0.3527630176672264,0.2335271519858217,0.2239311397880728
140,79.00542000000002,505.7373,3288.006,-0.6746650159357177,0.3614644856346349,0.5805740486469655,0.2776766391596845,6.4464570000000005,363.21029999999996,3252.0119999999997,-0.9035411459938592,0.257356010277421,0.1599941077576848,0.3029573682104696,79.41284999999999,309.8376,3274.0290000000005,-0.8742520549263427,0.3554581359156771,0.2456799351045384,0.221301214536768
153,79.98792,504.8115,3288.2970000000005,-0.6731054505335876,0.3624218724728462,0.5808098597928333,0.2797129699936724,6.42357,362.7699,3252.3060000000005,-0.9012534821427842,0.2604343508014702,0.1581675791704108,0.308057018662933,81.22673999999999,307.6881,3275.169,-0.8696000648134123,0.3571764550820686,0.2605009941024042,0.2199089340685706
168,80.95437,503.8431,3288.4439999999995,-0.6713755927288043,0.3638223943988233,0.5808066123613356,0.2820492117686251,6.406404,362.30190000000005,3252.6179999999995,-0.8987192692828775,0.2635402956234875,0.1562700853417299,0.3137353152414054,83.16708,305.62800000000004,3276.3330000000005,-0.8648939352571116,0.3569293102118075,0.2771329325316639,0.2185344045535872
180,81.96372000000001,502.86629999999997,3288.636,-0.6697610066173351,0.3662687820115811,0.5798712895174476,0.2846342581841817,6.3869489999999995,361.7805,3252.897,-0.8959736107521087,0.266953768453985,0.1530853129066406,0.3202059670217297,85.26648,303.6495,3277.5029999999997,-0.8597248076876943,0.3554093422170273,0.2965526177580933,0.2159027545262888
195,82.97769,501.9651,3288.777,-0.6683283255801672,0.3697126472527965,0.5779251409540809,0.2874931984269283,6.342315000000001,361.332,3253.1369999999997,-0.8939033640115983,0.2705658709916023,0.1498305233021913,0.3244714156136024,87.30297,301.6227,3278.631,-0.8549312069033159,0.3532996167765608,0.3166526106811581,0.2097692455942523
209,84.11922,501.09090000000003,3288.8579999999993,-0.6670047397684007,0.3742221413274822,0.5749359427235546,0.2907079768966436,6.294249,360.9366,3253.365,-0.8922196649929782,0.2740656707353919,0.147165945586534,0.32737480352617,89.29023000000001,299.61258,3279.696,-0.8507044613534159,0.3498979100684504,0.3359151505132646,0.2025694538146755
