delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
0,11.097,154.289,10.36,-0.317,-0.752,-0.315,0.484,29.627,112.295,-5.806,0.066,-0.68,0.075,0.726,36.027,131.691,25.228,0.176,-0.713,0.157,0.66
28,11.109,154.312,10.352,-0.317,-0.752,-0.315,0.484,29.657,112.278,-5.898,0.066,-0.679,0.075,0.727,36.018,131.63,25.227,0.179,-0.713,0.152,0.661
56,11.122,154.336,10.338,-0.317,-0.753,-0.314,0.484,29.693,112.254,-5.992,0.066,-0.678,0.075,0.728,35.996,131.574,25.21,0.182,-0.712,0.148,0.662
84,11.141,154.375,10.313,-0.317,-0.753,-0.314,0.485,29.732,112.252,-6.053,0.065,-0.678,0.075,0.729,35.962,131.505,25.199,0.183,-0.712,0.146,0.662
113,11.17,154.426,10.268,-0.316,-0.753,-0.312,0.485,29.771,112.248,-6.114,0.065,-0.677,0.075,0.729,35.927,131.403,25.165,0.182,-0.713,0.145,0.662
140,11.208,154.506,10.2,-0.316,-0.753,-0.311,0.487,29.822,112.262,-6.163,0.064,-0.676,0.076,0.73,35.873,131.233,25.126,0.183,-0.713,0.142,0.662
167,11.255,154.601,10.114,-0.315,-0.753,-0.309,0.489,29.827,112.3,-6.224,0.064,-0.675,0.077,0.731,35.816,131.022,25.079,0.184,-0.713,0.138,0.662
192,11.313,154.705,10.013,-0.315,-0.752,-0.306,0.492,29.834,112.329,-6.282,0.064,-0.674,0.078,0.732,35.775,130.755,24.997,0.184,-0.713,0.134,0.663
222,11.401,154.83,9.828,-0.314,-0.751,-0.302,0.496,29.858,112.446,-6.412,0.064,-0.672,0.079,0.733,35.752,130.356,24.876,0.184,-0.712,0.127,0.665
249,11.482,154.991,9.634,-0.314,-0.75,-0.298,0.501,29.861,112.547,-6.563,0.064,-0.67,0.081,0.735,35.742,129.925,24.726,0.181,-0.712,0.121,0.667
276,11.583,155.18,9.369,-0.313,-0.747,-0.292,0.509,29.851,112.669,-6.729,0.065,-0.667,0.082,0.737,35.707,129.414,24.531,0.178,-0.712,0.116,0.669
301,11.72,155.406,9.008,-0.312,-0.742,-0.286,0.519,29.825,112.803,-6.934,0.067,-0.665,0.083,0.739,35.645,128.859,24.3,0.175,-0.711,0.111,0.672
330,11.904,155.722,8.491,-0.31,-0.734,-0.276,0.537,29.763,112.995,-7.167,0.074,-0.662,0.082,0.742,35.509,128.118,23.976,0.172,-0.71,0.104,0.675
360,12.126,156.113,7.792,-0.307,-0.722,-0.263,0.561,29.664,113.268,-7.411,0.087,-0.659,0.078,0.743,35.308,127.209,23.545,0.168,-0.707,0.096,0.68
387,12.331,156.497,7.038,-0.303,-0.708,-0.251,0.587,29.532,113.557,-7.666,0.1,-0.656,0.075,0.744,35.071,126.243,23.065,0.161,-0.705,0.089,0.685
413,12.476,156.894,6.193,-0.297,-0.691,-0.238,0.614,29.383,113.862,-7.968,0.111,-0.653,0.073,0.745,34.784,125.124,22.521,0.153,-0.701,0.081,0.691
445,12.58,157.384,5.096,-0.29,-0.668,-0.223,0.648,29.217,114.214,-8.41,0.12,-0.65,0.071,0.747,34.404,123.629,21.761,0.141,-0.696,0.068,0.7
473,12.589,157.831,4.055,-0.283,-0.644,-0.209,0.679,29.025,114.491,-8.84,0.128,-0.647,0.069,0.749,33.98,122.175,21.0,0.132,-0.691,0.053,0.709
501,12.516,158.254,3.051,-0.276,-0.621,-0.197,0.707,28.817,114.745,-9.306,0.138,-0.643,0.065,0.75,33.499,120.699,20.21,0.123,-0.685,0.034,0.717
530,12.345,158.664,2.034,-0.268,-0.596,-0.186,0.734,28.589,114.998,-9.866,0.147,-0.639,0.061,0.753,32.982,119.076,19.271,0.115,-0.678,0.011,0.726
559,12.064,159.038,1.124,-0.262,-0.572,-0.177,0.757,28.365,115.22,-10.506,0.152,-0.633,0.057,0.757,32.455,117.478,18.194,0.105,-0.67,-0.011,0.735
589,11.711,159.395,0.341,-0.256,-0.552,-0.172,0.775,28.122,115.407,-11.208,0.151,-0.627,0.057,0.762,31.931,116.055,17.059,0.098,-0.66,-0.038,0.744
615,11.395,159.713,-0.24,-0.251,-0.538,-0.167,0.787,27.865,115.57,-11.904,0.148,-0.622,0.057,0.767,31.479,114.918,15.968,0.092,-0.649,-0.06,0.752
644,11.09,160.054,-0.776,-0.245,-0.526,-0.162,0.798,27.534,115.802,-12.6,0.148,-0.615,0.058,0.772,31.111,114.009,14.755,0.087,-0.639,-0.077,0.76
673,10.839,160.409,-1.23,-0.238,-0.517,-0.155,0.808,27.148,116.08,-13.267,0.152,-0.609,0.058,0.776,30.825,113.367,13.481,0.083,-0.63,-0.088,0.767
701,10.701,160.75,-1.573,-0.23,-0.512,-0.147,0.814,26.751,116.324,-13.814,0.157,-0.604,0.057,0.779,30.684,113.009,12.277,0.081,-0.621,-0.093,0.774
731,10.608,161.132,-1.892,-0.222,-0.51,-0.139,0.82,26.289,116.525,-14.362,0.161,-0.599,0.056,0.782,30.619,112.797,10.884,0.077,-0.61,-0.094,0.783
759,10.556,161.459,-2.163,-0.214,-0.509,-0.132,0.823,25.827,116.618,-14.852,0.163,-0.595,0.054,0.785,30.633,112.771,9.503,0.074,-0.598,-0.091,0.793
