delta_time_ms,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w,drawing
0.0,-460.508,155.894,-82.389,-0.165,0.924,-0.251,-0.236,0.035
10.0,-455.449,151.735,-83.078,-0.171,0.922,-0.265,-0.224,0.336
21.0,-450.827,147.845,-84.216,-0.178,0.921,-0.275,-0.21,0.873
32.0,-443.195,143.804,-86.481,-0.171,0.921,-0.291,-0.193,1.0
43.0,-435.746,139.249,-88.379,-0.166,0.92,-0.305,-0.183,1.0
54.0,-429.416,135.29,-90.446,-0.173,0.917,-0.314,-0.175,1.0
66.0,-422.371,131.644,-92.102,-0.184,0.914,-0.319,-0.17,1.0
77.0,-415.315,129.316,-94.412,-0.192,0.913,-0.322,-0.162,1.0
88.0,-405.34,127.973,-98.629,-0.198,0.914,-0.321,-0.151,1.0
100.0,-393.199,128.338,-103.874,-0.198,0.918,-0.318,-0.134,1.0
110.0,-380.724,130.115,-109.836,-0.202,0.92,-0.315,-0.114,1.0
122.0,-365.632,131.609,-116.184,-0.209,0.922,-0.313,-0.095,1.0
133.0,-351.638,132.478,-121.465,-0.215,0.922,-0.312,-0.077,1.0
145.0,-335.239,135.586,-128.0,-0.218,0.923,-0.312,-0.059,1.0
156.0,-320.153,137.775,-133.831,-0.218,0.924,-0.312,-0.042,1.0
166.0,-304.408,141.526,-139.45,-0.217,0.925,-0.31,-0.028,1.0
178.0,-288.392,146.224,-145.175,-0.219,0.927,-0.306,-0.015,1.0
189.0,-272.25,152.076,-150.904,-0.223,0.928,-0.299,0.0,1.0
200.0,-256.084,158.622,-155.594,-0.229,0.928,-0.293,0.016,1.0
211.0,-240.388,165.118,-160.803,-0.231,0.929,-0.288,0.032,1.0
222.0,-224.667,172.581,-165.54,-0.232,0.929,-0.284,0.046,1.0
233.0,-209.671,180.586,-169.645,-0.234,0.93,-0.279,0.058,1.0
245.0,-195.889,189.269,-173.757,-0.24,0.929,-0.273,0.067,1.0
256.0,-182.769,198.34,-177.729,-0.246,0.929,-0.264,0.076,1.0
267.0,-169.471,208.492,-181.065,-0.249,0.93,-0.256,0.087,1.0
279.0,-155.928,218.422,-184.74,-0.251,0.93,-0.248,0.099,1.0
289.0,-142.466,229.303,-187.785,-0.249,0.931,-0.242,0.113,1.0
300.0,-129.448,240.26,-190.246,-0.246,0.931,-0.236,0.128,1.0
313.0,-116.822,250.85,-192.874,-0.244,0.931,-0.23,0.141,1.0
323.0,-105.421,262.081,-194.879,-0.241,0.932,-0.224,0.152,1.0
334.0,-95.483,273.352,-196.653,-0.24,0.933,-0.216,0.161,1.0
346.0,-85.946,284.23,-198.302,-0.239,0.934,-0.206,0.169,1.0
356.0,-76.501,295.121,-199.715,-0.24,0.934,-0.198,0.178,1.0
368.0,-68.811,304.473,-199.812,-0.235,0.934,-0.192,0.188,1.0
379.0,-60.584,313.491,-200.074,-0.232,0.934,-0.187,0.198,0.891
390.0,-53.025,321.853,-199.945,-0.228,0.933,-0.182,0.208,0.632
1001.0,-430.732,159.443,-63.096,-0.27,0.912,-0.224,-0.214,0.24
1016.0,-421.974,157.504,-65.815,-0.273,0.909,-0.234,-0.209,1.0
1027.0,-405.878,152.005,-72.576,-0.282,0.903,-0.255,-0.2,1.0
1040.0,-396.881,150.352,-75.576,-0.284,0.901,-0.263,-0.194,1.0
1049.0,-384.924,149.599,-79.434,-0.284,0.902,-0.269,-0.185,1.0
1060.0,-374.534,148.913,-83.249,-0.284,0.902,-0.272,-0.177,1.0
1071.0,-362.879,149.451,-86.829,-0.287,0.903,-0.273,-0.168,1.0
1082.0,-350.805,149.457,-90.852,-0.291,0.902,-0.276,-0.159,1.0
1097.0,-336.845,150.011,-94.541,-0.292,0.902,-0.28,-0.15,1.0
1105.0,-322.006,150.571,-98.246,-0.29,0.903,-0.286,-0.139,1.0
1116.0,-308.058,151.77,-102.182,-0.29,0.902,-0.292,-0.129,1.0
1126.0,-292.02,153.227,-106.201,-0.29,0.902,-0.297,-0.117,1.0
1139.0,-275.276,155.97,-110.365,-0.29,0.903,-0.298,-0.104,1.0
1149.0,-258.905,159.047,-114.777,-0.29,0.905,-0.299,-0.091,1.0
1162.0,-240.501,163.796,-119.56,-0.298,0.905,-0.295,-0.077,1.0
1172.0,-223.537,167.778,-123.674,-0.304,0.904,-0.295,-0.064,1.0
1183.0,-204.827,172.635,-128.419,-0.313,0.902,-0.294,-0.047,1.0
1194.0,-185.897,177.957,-132.522,-0.319,0.9,-0.296,-0.03,1.0
1205.0,-167.423,183.739,-136.761,-0.321,0.899,-0.299,-0.012,1.0
1216.0,-147.804,191.404,-141.33,-0.313,0.9,-0.303,0.008,1.0
1229.0,-129.782,198.386,-145.527,-0.313,0.9,-0.304,0.024,1.0
1251.0,-97.249,215.965,-153.778,-0.323,0.897,-0.297,0.048,1.0
1262.0,-82.769,226.184,-157.855,-0.333,0.895,-0.29,0.057,1.0
1273.0,-68.938,237.138,-161.65,-0.334,0.896,-0.285,0.067,1.0
1283.0,-54.331,247.556,-165.823,-0.333,0.897,-0.281,0.078,1.0
1295.0,-40.687,258.879,-169.7,-0.327,0.899,-0.277,0.09,1.0
1307.0,-27.08,270.919,-173.066,-0.319,0.902,-0.271,0.105,1.0
1318.0,-13.728,282.886,-176.6,-0.315,0.904,-0.264,0.119,1.0
1329.0,-2.284,295.591,-179.006,-0.312,0.905,-0.255,0.135,1.0
1339.0,9.295,307.012,-181.215,-0.313,0.905,-0.248,0.149,1.0
1350.0,18.534,317.746,-182.999,-0.318,0.903,-0.24,0.162,1.0
1362.0,25.612,327.62,-183.962,-0.327,0.9,-0.232,0.171,1.0
1372.0,32.097,336.786,-184.606,-0.336,0.897,-0.225,0.179,1.0
1384.0,32.822,343.092,-184.351,-0.348,0.894,-0.218,0.179,0.336
2312.0,-430.076,202.284,-66.467,-0.187,0.927,-0.251,-0.207,0.463
2323.0,-427.499,200.312,-65.269,-0.187,0.927,-0.253,-0.206,0.958
2333.0,-422.713,198.024,-64.888,-0.191,0.926,-0.255,-0.201,0.958
2346.0,-418.898,195.294,-64.179,-0.192,0.925,-0.261,-0.2,1.0
2355.0,-413.199,192.002,-63.374,-0.191,0.923,-0.269,-0.198,1.0
2367.0,-407.084,188.254,-62.624,-0.196,0.921,-0.276,-0.194,1.0
2378.0,-400.048,184.704,-61.877,-0.202,0.918,-0.282,-0.19,1.0
2389.0,-393.496,181.569,-61.592,-0.206,0.917,-0.286,-0.185,1.0
2400.0,-385.17,179.386,-61.867,-0.208,0.917,-0.288,-0.179,1.0
2412.0,-376.41,178.12,-62.667,-0.211,0.919,-0.286,-0.173,1.0
2422.0,-367.613,177.264,-63.605,-0.213,0.92,-0.284,-0.167,1.0
2434.0,-357.685,177.689,-64.964,-0.218,0.922,-0.277,-0.16,1.0
2445.0,-347.764,178.613,-66.552,-0.223,0.923,-0.272,-0.156,1.0
2456.0,-336.341,178.916,-68.437,-0.228,0.923,-0.27,-0.151,1.0
2467.0,-324.785,178.941,-69.844,-0.232,0.923,-0.27,-0.145,1.0
2479.0,-310.833,179.184,-72.304,-0.232,0.922,-0.279,-0.138,1.0
2489.0,-297.442,179.208,-74.61,-0.232,0.921,-0.284,-0.13,1.0
2501.0,-282.627,179.714,-77.341,-0.233,0.92,-0.291,-0.12,1.0
2512.0,-266.743,181.128,-80.776,-0.235,0.92,-0.295,-0.108,1.0
2523.0,-251.657,183.403,-84.459,-0.241,0.919,-0.295,-0.097,1.0
2535.0,-236.266,186.478,-88.26,-0.248,0.919,-0.294,-0.087,1.0
2546.0,-220.781,189.368,-92.046,-0.255,0.918,-0.293,-0.077,1.0
2556.0,-204.519,193.528,-96.921,-0.264,0.917,-0.292,-0.065,1.0
2568.0,-187.825,198.212,-101.585,-0.271,0.916,-0.291,-0.051,1.0
2580.0,-171.361,203.778,-106.522,-0.276,0.915,-0.291,-0.037,1.0
2590.0,-154.768,209.164,-111.411,-0.28,0.914,-0.291,-0.023,1.0
2601.0,-138.133,215.874,-116.424,-0.28,0.915,-0.29,-0.01,1.0
2612.0,-122.073,223.434,-121.914,-0.278,0.916,-0.288,0.003,1.0
2623.0,-105.894,231.286,-127.211,-0.275,0.918,-0.286,0.015,1.0
2634.0,-90.241,239.125,-132.082,-0.273,0.919,-0.284,0.027,1.0
2646.0,-75.031,246.833,-137.465,-0.274,0.919,-0.282,0.039,1.0
2657.0,-60.222,254.909,-142.602,-0.276,0.918,-0.28,0.05,1.0
2668.0,-45.45,263.713,-147.412,-0.28,0.917,-0.276,0.062,1.0
2680.0,-30.685,273.324,-152.445,-0.285,0.917,-0.27,0.077,1.0
2690.0,-16.047,282.8,-157.226,-0.29,0.916,-0.264,0.091,1.0
2702.0,-2.153,293.67,-161.177,-0.296,0.914,-0.257,0.107,1.0
2713.0,11.634,303.686,-165.224,-0.298,0.912,-0.253,0.121,1.0
