delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0,2038.082,172.602,-2826.088,-0.974,0.153,0.143,0.085,2045.598,158.792,-2887.514,-0.999,0.042,-0.011,0.013,2052.699,162.183,-2826.327,-0.977,-0.2,0.056,0.053
12,2038.08,172.592,-2826.102,-0.974,0.153,0.143,0.085,2045.602,158.793,-2887.518,-0.999,0.042,-0.011,0.013,2052.704,162.182,-2826.332,-0.977,-0.2,0.056,0.053
25,2038.084,172.597,-2826.107,-0.974,0.153,0.142,0.085,2045.61,158.793,-2887.523,-0.999,0.042,-0.011,0.013,2052.723,162.192,-2826.335,-0.977,-0.2,0.057,0.053
40,2038.071,172.6,-2826.115,-0.974,0.153,0.142,0.085,2045.62,158.792,-2887.529,-0.999,0.042,-0.011,0.013,2052.742,162.209,-2826.33,-0.976,-0.201,0.057,0.053
54,2038.075,172.609,-2826.129,-0.974,0.153,0.142,0.085,2045.635,158.788,-2887.539,-0.999,0.042,-0.012,0.013,2052.734,162.22,-2826.317,-0.976,-0.202,0.057,0.052
67,2038.077,172.614,-2826.137,-0.975,0.152,0.141,0.085,2045.643,158.783,-2887.546,-0.999,0.042,-0.012,0.013,2052.735,162.231,-2826.313,-0.976,-0.202,0.056,0.052
82,2038.057,172.608,-2826.159,-0.975,0.152,0.141,0.085,2045.655,158.779,-2887.553,-0.999,0.042,-0.011,0.013,2052.732,162.236,-2826.316,-0.976,-0.202,0.056,0.051
95,2038.063,172.598,-2826.159,-0.975,0.152,0.14,0.085,2045.667,158.775,-2887.56,-0.999,0.042,-0.011,0.013,2052.708,162.227,-2826.335,-0.977,-0.202,0.056,0.051
109,2038.076,172.603,-2826.167,-0.975,0.152,0.14,0.085,2045.672,158.771,-2887.562,-0.999,0.042,-0.011,0.013,2052.708,162.228,-2826.345,-0.977,-0.202,0.056,0.051
123,2038.074,172.604,-2826.175,-0.975,0.152,0.139,0.085,2045.685,158.767,-2887.564,-0.999,0.042,-0.011,0.013,2052.712,162.229,-2826.346,-0.976,-0.202,0.056,0.051
