delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,head_rot_w,left_hand_rot_w,right_hand_rot_w
0,22.18361,171.9674,1095.37,0.5016352895643286,0.36432651500722496,-0.5629060452477794,2.204132,121.8353,1082.668,-0.1373693054956372,-0.27950064752711584,-0.031593355431944685,21.19465,110.6636,1087.361,-0.00951818931968254,-0.2748840674285285,-0.20897525901752745,0.5465940092517547,0.9497425555549883,0.9384441883588923
14,22.557450000000003,171.6178,1095.396,0.5010061891298839,0.3682329691079419,-0.5619427767708628,2.212906,121.7682,1082.876,-0.14017507788825953,-0.28251939230106954,-0.02955796607323105,21.67931,109.9149,1087.779,0.004631286990575169,-0.27931289152622557,-0.21644361893634842,0.545543393829082,0.9485041207893979,0.9354758252514102
28,22.97745,171.3028,1095.523,0.49959802153750643,0.37414549813836184,-0.5600125108115059,2.226639,121.7422,1083.063,-0.14705592596778672,-0.28524328048665015,-0.024098476471894607,22.19696,109.1782,1088.195,0.01622793059850801,-0.28482837952410966,-0.22161696980374104,0.5447962470806855,0.9467999202612475,0.9324673544854896
42,23.39211,170.9473,1095.54,0.4983590008072506,0.3809272501523295,-0.5576990414641554,2.239799,121.70080000000002,1083.236,-0.15100999526494718,-0.28836894673979746,-0.02142648756228381,22.69802,108.4347,1088.603,0.033249630521227334,-0.28773599556286417,-0.23080266587278556,0.5436032703688839,0.9452937308143982,0.9288878233423369
55,23.84872,170.6147,1095.617,0.49739764345225773,0.38743428894477416,-0.5553935860159359,2.245712,121.6566,1083.386,-0.15334270518458412,-0.2913946664050747,-0.020202537698744152,23.20976,107.6766,1089.011,0.0534688941700127,-0.2888404711967576,-0.2435546700161062,0.5422436912038323,0.9440164302743251,0.9243340209407076
70,24.31374,170.29080000000002,1095.688,0.4967549485327063,0.39322084586352674,-0.5533262055431205,2.232361,121.5781,1083.515,-0.15552905150615265,-0.29356107068507525,-0.01992228901158432,23.73505,106.9229,1089.417,0.07606185551146383,-0.28905451833540485,-0.2585830018949005,0.5407790655581015,0.9429929556027276,0.9185841881379528
83,24.76044,169.93259999999998,1095.702,0.4965114329868758,0.3976845744205416,-0.5518120603081701,2.2142410000000003,121.4923,1083.621,-0.15676568064753896,-0.2950779570946983,-0.02136773080826012,24.2775,106.1928,1089.818,0.09976024726642141,-0.2883030500284846,-0.2736617029596575,0.5392836232259647,0.9422828347624927,0.9121614532213229
98,25.200840000000003,169.5709,1095.755,0.49677047144776276,0.40091832779444786,-0.5508450658166901,2.191162,121.3966,1083.726,-0.15517319552413564,-0.297269423470565,-0.024353854584346926,24.82719,105.4754,1090.214,0.12401682514871146,-0.2856213882511529,-0.28904117417660824,0.5376367794352221,0.9417850386511726,0.9052598794181291
111,25.59547,169.2293,1095.844,0.4975167790013339,0.40269397738329926,-0.5505744253379719,2.171898,121.3054,1083.8200000000002,-0.15527031733374827,-0.2991853397731473,-0.025445736066908343,25.3685,104.7534,1090.591,0.14707271220668683,-0.2812545117362959,-0.30471234119861523,0.5358940355659116,0.9411332400547314,0.8980066291923493
125,25.97084,168.90259999999998,1095.899,0.4978578012930982,0.40500841313316194,-0.5499529132755453,2.158165,121.2006,1083.909,-0.15794792001964347,-0.3005802026404698,-0.024494990463817125,25.91209,104.0191,1090.962,0.16950744562001874,-0.275585398671212,-0.3209818770390723,0.5344694454902925,0.9402680425199295,0.8901070432993322
