delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
0,22.18361,171.9674,1095.37,0.6158363609327224,-0.486182890772129,-0.46176100098888917,0.413701040897091,2.204132,121.8353,1082.668,0.9425114282426573,-0.12116628892375744,-0.25384539094490316,-0.1804257618979617,21.19465,110.6636,1087.361,0.9286411334331441,-0.2489453732087193,-0.23928667026281683,-0.13562350787570399
14,22.557450000000003,171.6178,1095.396,0.6129656605056418,-0.4875144899963312,-0.46228219298023504,0.415809926694739,2.212906,121.7682,1082.876,0.9411067261202,-0.12186825084563128,-0.256591133557608,-0.1833773422938806,21.67931,109.9149,1087.779,0.9266990094838663,-0.2513798035437434,-0.2483379268684372,-0.12792737889371805
28,22.97745,171.3028,1095.523,0.6086904767792777,-0.48980901030587637,-0.46226182999009086,0.4194008076239314,2.226639,121.7422,1083.063,0.9393286253981007,-0.12113033923293362,-0.25936828362073616,-0.188990126399932,22.19696,109.1782,1088.195,0.9245510320179168,-0.2526159885691416,-0.25773329122672106,-0.12232784681863089
42,23.39211,170.9473,1095.54,0.6036823467215322,-0.49203695050531265,-0.4626374715650319,0.4235963095898392,2.239799,121.70080000000002,1083.236,0.9376336984591079,-0.12199335801655387,-0.2621704873034373,-0.19294378378382068,22.69802,108.4347,1088.603,0.9226924559238392,-0.25444270614203757,-0.26705951210854484,-0.11214614600911056
55,23.84872,170.6147,1095.617,0.5987812110321911,-0.4939142813817198,-0.46326671182480084,0.42766072730265875,2.245712,121.6566,1083.386,0.9361233736049193,-0.123483571975763,-0.26470889971986317,-0.19584186286836258,23.20976,107.6766,1089.011,0.9204529598119275,-0.2578344591565158,-0.27616858394699123,-0.10009322497373467
70,24.31374,170.29080000000002,1095.688,0.5943329424325235,-0.49535869935445725,-0.4641252873268547,0.4312491509291625,2.232361,121.5781,1083.515,0.934809588378892,-0.1255533567480983,-0.26610402933911703,-0.1988869871400782,23.73505,106.9229,1089.417,0.9176165203599859,-0.26199618533190916,-0.28596447735797353,-0.0869611299566694
83,24.76044,169.93259999999998,1095.702,0.5908215120746072,-0.49623917323317634,-0.4651841071903128,0.4339128601877107,2.2142410000000003,121.4923,1083.621,0.9337039669832351,-0.1286484459591452,-0.2664153862586989,-0.20166636149019745,24.2775,106.1928,1089.818,0.9147235113594548,-0.26497196488656033,-0.29630935548285037,-0.07260524391338602
98,25.200840000000003,169.5709,1095.755,0.5882034960822996,-0.49648790552503036,-0.4665464090135711,0.4357187798345056,2.191162,121.3966,1083.726,0.9328012241186587,-0.13203804581649164,-0.2674475178807979,-0.2022860744566814,24.82719,105.4754,1090.214,0.9119276158695991,-0.2672606837301492,-0.3060981945846811,-0.05712832588550555
111,25.59547,169.2293,1095.844,0.5866789771786283,-0.49610723934245826,-0.4681583539028476,0.43647810996614655,2.171898,121.3054,1083.8200000000002,0.9318554960676912,-0.13425570925789523,-0.26857914578540876,-0.20368107773987404,25.3685,104.7534,1090.591,0.9089777991996778,-0.27023115570610495,-0.31452954350347817,-0.04249293248702375
125,25.97084,168.90259999999998,1095.899,0.5847678963075741,-0.4961373826179339,-0.4693907957107032,0.4376830884545493,2.158165,121.2006,1083.909,0.930764398340189,-0.13557887418218434,-0.26938231503329957,-0.20671035775988045,25.91209,104.0191,1090.962,0.9056517960744739,-0.2740706810034318,-0.3222761846035354,-0.028603267624213904
140,26.335140000000003,168.5791,1096.002,0.5821130734731649,-0.4969646142274911,-0.46983930502157983,0.43979719116222826,2.148819,121.0701,1084.004,0.9294617105768596,-0.13681976137000906,-0.2703896881202082,-0.2104060313499791,26.47095,103.2792,1091.343,0.9016903549933719,-0.2786066145006397,-0.3302839252190608,-0.015664827171362958
153,26.66264,168.2705,1096.0990000000002,0.5797290159068326,-0.49833204723401414,-0.46941972431806817,0.44184223568645037,2.14119,120.9233,1084.102,0.9279832620944447,-0.13758980857763525,-0.27186775968029203,-0.21448550322700535,27.07558,102.5627,1091.723,0.8969715682249568,-0.28146278365806393,-0.340902463189675,-0.0024935522308643515
168,26.98479,167.9477,1096.148,0.5771014137151337,-0.5000658751265084,-0.46865464487477676,0.444129376037265,2.135468,120.7673,1084.206,0.9263335755187277,-0.1380431789852506,-0.27352862322922034,-0.21916267902328346,27.72236,101.876,1092.111,0.8920115393068494,-0.28241010158320157,-0.3527686625901486,0.010687327147070921
180,27.321240000000003,167.6221,1096.212,0.5753716625580334,-0.5016772633740914,-0.4676787962868931,0.445582671164768,2.128983,120.5935,1084.299,0.9245210128188875,-0.1389025648153892,-0.2746006281988708,-0.22485877642829635,28.42216,101.2165,1092.501,0.8860224880992251,-0.28356074494055356,-0.365858660636968,0.026549857780045205
195,27.65923,167.3217,1096.259,0.5752054687479055,-0.5024826972483362,-0.46711459948443257,0.4454814907906247,2.1141050000000003,120.444,1084.379,0.9231973415220459,-0.1413357114933227,-0.2750986966801718,-0.22814818068127213,29.10099,100.5409,1092.877,0.8790453801222019,-0.2881097142365019,-0.37693804216106763,0.046794493481134875
209,28.03974,167.0303,1096.2859999999998,0.5765050102911254,-0.5025728872934427,-0.4669197385554407,0.44390136721357476,2.098083,120.3122,1084.455,0.922156913346291,-0.14420315406905626,-0.27563609664293787,-0.22990611073136374,29.76341,99.87086,1093.232,0.8719139891504555,-0.29307443348169127,-0.3864905073271584,0.06707055769203672
222,28.4008,166.738,1096.343,0.5784586505588647,-0.5021514516172514,-0.4671153067949626,0.44162517975105586,2.077675,120.2164,1084.5,0.9218362952109175,-0.1481751034964392,-0.2746928591960504,-0.2297951623562352,30.42812,99.23998,1093.5449999999998,0.8664725740902781,-0.2952649530871731,-0.39390258278910395,0.08297373741051925
237,28.75214,166.4231,1096.4,0.5806374288153766,-0.5014009452575979,-0.4676372060344899,0.4390588934137555,2.0637510000000003,120.1444,1084.54,0.9213743690866455,-0.1517341797706533,-0.2736375415159874,-0.23058297108112544,31.09856,98.60384,1093.84,0.8613720064148322,-0.2969793709732194,-0.4001891557766311,0.09843860716215141
250,29.08001,166.0965,1096.427,0.5842514014303477,-0.49986451961939193,-0.4685012512970966,0.4350773948223511,2.066803,120.0946,1084.597,0.9206819057005378,-0.1535673735003249,-0.2734672762255942,-0.23233066768206145,31.78825,97.92727,1094.139,0.8539721014767319,-0.3012790821482084,-0.4071380897939618,0.11916853778691555
