head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w,delta_time_ms
-12.88,-3.19,-30.97,-0.226,-0.162,-0.068,0.958,-13.38,-41.76,-57.75,0.041,-0.095,0.415,0.904,17.67,-24.87,-48.75,0.435,-0.262,-0.429,0.747,0
-12.99,-3.19,-31.02,-0.226,-0.152,-0.067,0.96,-13.59,-41.68,-57.78,0.044,-0.092,0.414,0.904,17.1,-25.03,-49.16,0.433,-0.256,-0.431,0.749,12
-13.12,-3.19,-31.07,-0.226,-0.141,-0.065,0.962,-13.83,-41.61,-57.82,0.047,-0.089,0.414,0.905,16.62,-25.16,-49.52,0.429,-0.249,-0.433,0.752,23
-13.27,-3.19,-31.11,-0.226,-0.128,-0.064,0.964,-14.1,-41.54,-57.87,0.05,-0.085,0.414,0.905,15.93,-25.31,-50.0,0.424,-0.244,-0.432,0.758,36
-13.43,-3.2,-31.15,-0.227,-0.114,-0.063,0.965,-14.48,-41.45,-57.92,0.053,-0.08,0.414,0.905,14.99,-25.43,-50.62,0.418,-0.236,-0.424,0.768,57
-13.76,-3.21,-31.19,-0.228,-0.089,-0.061,0.968,-15.11,-41.27,-57.98,0.061,-0.073,0.412,0.906,12.93,-25.57,-51.82,0.405,-0.225,-0.393,0.794,79
-14.06,-3.22,-31.22,-0.229,-0.064,-0.058,0.969,-15.73,-41.1,-58.04,0.068,-0.066,0.408,0.908,10.66,-25.65,-53.06,0.39,-0.208,-0.357,0.823,94
-14.26,-3.24,-31.19,-0.231,-0.051,-0.056,0.97,-16.18,-41.0,-58.06,0.073,-0.062,0.404,0.91,8.51,-25.51,-53.97,0.382,-0.186,-0.315,0.849,120
-14.56,-3.27,-31.18,-0.233,-0.028,-0.053,0.971,-16.88,-40.81,-58.1,0.081,-0.056,0.399,0.912,5.49,-25.49,-55.28,0.369,-0.156,-0.258,0.879,134
-14.71,-3.29,-31.16,-0.234,-0.016,-0.051,0.971,-17.3,-40.7,-58.1,0.085,-0.052,0.395,0.913,3.32,-25.46,-56.02,0.362,-0.13,-0.215,0.897,154
-14.99,-3.34,-31.05,-0.237,0.004,-0.047,0.97,-18.23,-40.45,-58.1,0.097,-0.044,0.389,0.915,-1.28,-25.61,-57.27,0.35,-0.075,-0.124,0.925,173
-15.09,-3.37,-30.95,-0.238,0.011,-0.044,0.97,-18.95,-40.35,-58.09,0.104,-0.035,0.388,0.915,-4.53,-25.85,-57.57,0.352,-0.027,-0.048,0.934,202
-15.31,-3.38,-30.86,-0.239,0.028,-0.04,0.97,-20.04,-40.24,-58.06,0.111,-0.021,0.386,0.916,-9.46,-26.51,-58.06,0.353,0.052,0.057,0.932,229
-15.51,-3.37,-30.77,-0.238,0.043,-0.036,0.97,-21.22,-40.22,-57.99,0.117,-0.006,0.382,0.917,-14.41,-27.46,-57.74,0.38,0.138,0.17,0.899,258
-15.8,-3.37,-30.65,-0.237,0.065,-0.031,0.969,-22.88,-40.15,-57.85,0.128,0.015,0.375,0.918,-19.82,-28.95,-57.28,0.419,0.208,0.286,0.836,284
-15.85,-3.35,-30.6,-0.237,0.069,-0.031,0.969,-23.58,-40.29,-57.67,0.13,0.026,0.372,0.919,-19.58,-28.96,-57.29,0.434,0.189,0.254,0.844,309
-16.0,-3.34,-30.54,-0.237,0.079,-0.028,0.968,-24.69,-40.42,-57.46,0.133,0.042,0.367,0.92,-21.24,-29.68,-57.73,0.428,0.201,0.276,0.837,333
-16.12,-3.32,-30.49,-0.236,0.087,-0.024,0.968,-25.74,-40.66,-57.17,0.134,0.057,0.362,0.921,-22.82,-30.3,-57.93,0.436,0.219,0.316,0.813,358
-16.26,-3.29,-30.45,-0.236,0.094,-0.021,0.967,-26.69,-40.94,-56.85,0.133,0.07,0.354,0.923,-24.24,-30.97,-57.91,0.461,0.235,0.393,0.76,386
-16.41,-3.26,-30.43,-0.235,0.101,-0.018,0.967,-27.63,-41.2,-56.48,0.135,0.084,0.349,0.924,-25.61,-32.05,-57.93,0.484,0.245,0.495,0.679,409
-16.56,-3.25,-30.4,-0.235,0.108,-0.016,0.966,-28.56,-41.44,-56.07,0.139,0.098,0.352,0.921,-26.46,-33.15,-58.28,0.481,0.265,0.557,0.623,437
-16.71,-3.23,-30.37,-0.236,0.114,-0.013,0.965,-29.35,-41.76,-55.68,0.137,0.111,0.355,0.918,-26.79,-33.86,-58.8,0.452,0.3,0.558,0.628,466
-16.84,-3.22,-30.36,-0.236,0.119,-0.011,0.964,-29.99,-42.06,-55.32,0.136,0.123,0.353,0.917,-27.04,-34.38,-59.06,0.423,0.337,0.542,0.644,494
-16.98,-3.2,-30.35,-0.237,0.123,-0.01,0.964,-30.52,-42.31,-55.03,0.136,0.134,0.351,0.917,-27.07,-34.32,-59.25,0.419,0.346,0.53,0.651,522
-17.12,-3.18,-30.35,-0.236,0.128,-0.008,0.963,-30.93,-42.49,-54.79,0.136,0.143,0.351,0.915,-26.99,-34.45,-59.93,0.415,0.333,0.552,0.642,551
-17.23,-3.17,-30.34,-0.236,0.132,-0.007,0.963,-31.26,-42.62,-54.6,0.136,0.148,0.352,0.914,-26.93,-35.21,-60.61,0.395,0.339,0.58,0.627,579
-17.33,-3.18,-30.33,-0.237,0.135,-0.005,0.962,-31.38,-42.68,-54.49,0.135,0.151,0.35,0.915,-26.87,-36.34,-61.04,0.359,0.369,0.594,0.619,607
-17.41,-3.18,-30.31,-0.237,0.137,-0.004,0.962,-31.46,-42.7,-54.41,0.135,0.153,0.346,0.916,-26.73,-37.74,-61.23,0.316,0.408,0.6,0.612,636
-17.46,-3.18,-30.3,-0.239,0.138,-0.004,0.961,-31.43,-42.64,-54.37,0.137,0.152,0.347,0.915,-26.62,-38.58,-61.2,0.303,0.431,0.601,0.601,664
-17.5,-3.17,-30.3,-0.24,0.138,-0.004,0.961,-31.37,-42.55,-54.33,0.139,0.151,0.348,0.915,-26.58,-38.68,-61.34,0.308,0.428,0.6,0.601,691
-17.55,-3.14,-30.29,-0.24,0.137,-0.005,0.961,-31.21,-42.4,-54.29,0.141,0.147,0.349,0.915,-26.38,-38.69,-61.53,0.306,0.417,0.6,0.61,720
-17.58,-3.12,-30.29,-0.24,0.136,-0.006,0.961,-31.04,-42.29,-54.22,0.143,0.143,0.349,0.915,-26.16,-39.09,-61.55,0.297,0.42,0.605,0.607,748
-17.61,-3.09,-30.28,-0.239,0.135,-0.006,0.962,-30.91,-42.23,-54.13,0.145,0.139,0.348,0.916,-25.9,-39.61,-61.39,0.288,0.429,0.61,0.602,776
-17.64,-3.08,-30.28,-0.237,0.135,-0.005,0.962,-30.77,-42.27,-54.07,0.144,0.136,0.347,0.917,-25.6,-40.14,-61.27,0.275,0.438,0.611,0.599,804
-17.66,-3.08,-30.26,-0.236,0.134,-0.004,0.962,-30.67,-42.4,-54.02,0.141,0.135,0.349,0.917,-25.3,-40.59,-61.24,0.262,0.444,0.612,0.599,833
-17.69,-3.11,-30.22,-0.237,0.134,-0.004,0.962,-30.58,-42.57,-54.01,0.139,0.135,0.348,0.917,-25.01,-41.01,-61.28,0.246,0.45,0.611,0.602,860
-17.71,-3.12,-30.15,-0.239,0.134,-0.003,0.962,-30.5,-42.73,-54.04,0.136,0.136,0.347,0.918,-24.91,-41.13,-61.29,0.246,0.453,0.609,0.603,888
-17.74,-3.12,-30.1,-0.24,0.134,-0.003,0.962,-30.42,-42.84,-54.06,0.133,0.137,0.346,0.919,-24.9,-40.64,-61.67,0.249,0.436,0.596,0.627,916
-17.78,-3.11,-30.05,-0.239,0.134,-0.003,0.962,-30.31,-42.87,-54.09,0.133,0.136,0.345,0.919,-24.86,-39.9,-62.14,0.252,0.412,0.576,0.659,944
